timestamp,current_grade,target_grade,machine_speed,steam_pressure,dryer_temperature,moisture,basis_weight,caliper,pulp_consistency,stock_flow,refining_energy,headbox_pressure,reel_tension,ambient_temperature,humidity,transition_time,quality_score,off_spec_probability,stabilization_time
2024-01-01 00:00:00+00:00,Board,Kraft,519.3555,7.7164,122.4804,6.4502,155.5514,213.875,3.4523,4786.2908,203.84,2.6317,4.9427,23.9707,81.0107,50.7196,89.0236,0.2543,37.3409
2024-01-01 00:05:00+00:00,Coated,Board,712.577,7.6497,137.3439,4.4909,128.6645,176.0053,3.1687,4685.5804,160.6083,3.3589,4.7247,34.4595,58.5448,62.0898,52.3712,0.8862,80.5611
2024-01-01 00:10:00+00:00,CopyPaper,Newsprint,998.0136,7.2767,134.7538,4.9179,63.6112,77.2105,2.5293,3716.8587,150.694,4.1567,3.6067,36.9083,57.7776,42.9091,69.9198,0.5644,40.3635
2024-01-01 00:15:00+00:00,CopyPaper,Coated,761.0203,7.166,128.3772,4.7419,81.3245,106.4146,3.2585,3670.9773,164.9545,3.5738,4.137,20.025,84.4894,27.0005,89.3849,0.2235,17.6576
2024-01-01 00:20:00+00:00,Newsprint,CopyPaper,784.5759,7.2824,124.336,5.0985,81.1668,97.0177,2.9454,3680.348,169.952,3.3428,3.4866,30.9577,68.8008,34.5447,95.9092,0.0789,21.9674
2024-01-01 00:25:00+00:00,Coated,Board,409.8246,7.3918,119.2852,7.2115,148.9197,199.8292,3.6799,4882.2204,194.378,2.2703,4.8972,25.9564,60.7607,53.9471,81.661,0.2994,49.0241
2024-01-01 00:30:00+00:00,Kraft,Board,625.8362,7.5295,131.1459,6.1019,164.7338,229.0516,3.596,5316.6404,205.9429,3.0472,5.1627,26.0011,88.5318,44.1801,77.7813,0.4023,42.6096
2024-01-01 00:35:00+00:00,Board,Coated,672.4313,7.4772,128.6926,4.4327,124.8382,133.0496,3.2787,4387.1813,184.1897,3.3166,3.9174,29.4037,74.2533,68.5697,74.4086,0.5262,69.4681
2024-01-01 00:40:00+00:00,CopyPaper,Coated,813.5141,7.9302,134.824,3.0444,88.2672,97.1736,2.8343,3843.1319,152.5295,3.3365,3.6011,31.0175,69.6784,30.8649,84.6391,0.2595,27.9953
2024-01-01 00:45:00+00:00,Newsprint,CopyPaper,1038.5736,7.8101,136.9723,3.9205,59.6604,65.4878,2.5533,3770.9038,138.1233,4.47,3.4047,26.1489,68.3835,40.799,66.9912,0.5638,41.464
2024-01-01 00:50:00+00:00,CopyPaper,Newsprint,790.3987,6.9351,134.5159,6.2268,70.9014,85.2499,2.8354,3700.1532,141.1636,3.7034,3.3877,42.0,53.9783,35.744,77.6708,0.3873,29.2777
2024-01-01 00:55:00+00:00,CopyPaper,Board,831.5725,8.1561,134.8932,3.6462,143.3782,191.4811,2.9492,4926.5801,202.8854,3.7131,5.297,35.0124,55.087,72.8476,48.815,0.9209,93.8302
2024-01-01 01:00:00+00:00,CopyPaper,Newsprint,932.596,7.1998,137.0681,6.1314,84.0461,90.2468,2.9071,4178.853,174.7335,3.6389,3.5561,19.0063,80.5496,45.6862,70.0367,0.5183,42.9207
2024-01-01 01:05:00+00:00,Kraft,Coated,719.5242,7.4953,125.8067,3.015,113.5144,125.7193,3.2188,4066.2066,143.9007,3.3035,3.9805,30.9433,39.4482,42.8119,79.6947,0.3386,36.276
2024-01-01 01:10:00+00:00,Kraft,CopyPaper,812.3687,7.4265,126.7823,3.3249,89.5436,118.1976,3.1269,3833.2746,166.1896,4.0435,3.716,19.096,65.05,40.7919,79.211,0.3614,39.3668
2024-01-01 01:15:00+00:00,Kraft,Newsprint,748.4244,7.7199,136.9722,6.435,87.8753,122.7682,3.3233,4014.8692,155.9861,3.6737,4.0877,23.6409,72.9742,67.0136,56.3304,0.8386,81.9287
2024-01-01 01:20:00+00:00,Kraft,CopyPaper,676.4837,7.4505,129.009,5.745,109.1856,129.4671,2.6238,4055.5383,147.398,3.1989,3.9255,20.5449,67.2153,34.4827,84.7973,0.355,30.5825
2024-01-01 01:25:00+00:00,Coated,CopyPaper,737.7022,7.4116,127.7445,3.8588,87.7119,96.6895,2.9021,3589.0346,120.4485,3.6186,3.2155,32.2614,51.4704,24.6686,85.0562,0.2264,19.3603
2024-01-01 01:30:00+00:00,Newsprint,CopyPaper,850.7969,7.432,134.8246,3.9928,72.1257,98.3635,2.5204,3838.8431,131.8367,3.8046,3.8081,24.6684,72.5436,35.6051,92.1761,0.1645,26.4807
2024-01-01 01:35:00+00:00,Kraft,CopyPaper,640.6981,7.0796,123.6605,4.7542,107.7831,156.7753,3.1849,4229.3347,149.8668,3.198,3.782,27.5706,72.0792,31.6161,79.4762,0.402,26.6487
2024-01-01 01:40:00+00:00,Board,Coated,757.4792,7.2008,136.0615,2.5,101.35,122.1403,3.1093,3990.8255,148.3758,3.3682,4.315,42.0,44.9345,62.6829,68.421,0.6535,69.7915
2024-01-01 01:45:00+00:00,Newsprint,Coated,912.6582,7.2609,140.6784,2.5553,63.4967,76.9392,2.696,3529.5047,138.6949,3.9286,3.694,26.1976,44.5515,44.383,65.5195,0.6565,47.1853
2024-01-01 01:50:00+00:00,Coated,Kraft,491.8298,6.6559,116.732,6.9914,115.2143,145.5817,2.7135,4250.5067,147.4929,2.7906,3.5587,19.8346,65.1694,30.3082,88.011,0.1818,24.8278
2024-01-01 01:55:00+00:00,Newsprint,CopyPaper,907.2924,7.8231,139.9987,2.6328,72.4628,101.3327,3.124,3624.6405,158.2765,3.8132,3.5192,39.7094,39.9247,41.1266,75.3333,0.3807,40.2904
2024-01-01 02:00:00+00:00,Coated,Newsprint,1000.8252,7.1935,127.4855,7.517,54.6928,73.9227,2.639,3366.1198,142.436,4.2761,3.9625,26.4333,67.1246,38.2217,92.3091,0.1334,27.105
2024-01-01 02:05:00+00:00,Coated,Board,522.862,7.658,126.5896,7.178,145.8853,196.3258,3.0495,4760.192,176.5033,2.6498,5.0586,20.8508,64.8563,62.175,71.9567,0.4651,58.8394
2024-01-01 02:10:00+00:00,Kraft,Newsprint,891.086,8.271,133.3948,5.8308,80.171,121.6859,3.0288,3899.0758,180.6339,4.0901,4.0085,33.7249,47.745,64.3316,57.9277,0.7165,76.1363
2024-01-01 02:15:00+00:00,Coated,Board,573.914,7.2817,129.291,6.3543,147.0027,201.1299,3.447,4877.3423,215.2035,3.0208,5.3786,25.1977,57.301,59.9838,83.5195,0.3528,52.6406
2024-01-01 02:20:00+00:00,Kraft,Newsprint,624.8901,6.8173,117.3859,7.1223,109.2708,152.7482,3.357,4428.5811,158.6964,3.2282,4.8296,30.5702,50.0556,59.5455,48.7201,0.9423,82.7579
2024-01-01 02:25:00+00:00,Coated,CopyPaper,833.485,7.866,130.0496,4.6051,79.9274,100.1923,2.6384,4083.6411,178.7414,3.707,4.0248,29.5335,55.2795,25.7232,91.8232,0.0854,20.31
2024-01-01 02:30:00+00:00,Kraft,CopyPaper,725.8237,7.6938,136.7192,2.5072,115.5751,139.8043,2.8225,4392.5691,167.8181,3.5698,4.0058,21.7708,60.9823,48.11,65.9677,0.6364,50.2097
2024-01-01 02:35:00+00:00,Newsprint,Board,693.5811,7.2265,129.8647,5.2081,110.8622,169.2418,3.1395,4243.3101,170.891,3.1954,4.7159,28.7701,45.3822,84.993,51.56,0.8844,110.7247
2024-01-01 02:40:00+00:00,Newsprint,CopyPaper,985.2666,7.1306,137.2222,4.373,60.9322,80.9597,2.7416,3654.8991,106.703,4.1652,3.1538,17.9551,73.8838,46.3215,85.8283,0.2729,35.7597
2024-01-01 02:45:00+00:00,Newsprint,Coated,676.1065,6.563,121.8143,4.5346,93.6315,80.0811,2.872,3618.2274,130.4442,3.3716,3.1053,16.2513,77.1002,34.9859,94.9016,0.1307,23.3977
2024-01-01 02:50:00+00:00,Kraft,Board,535.6842,7.124,123.2991,7.3894,159.75,242.2903,3.5448,4980.1494,217.9686,2.6103,4.9325,17.5353,86.9263,46.7301,83.5028,0.2615,41.6876
2024-01-01 02:55:00+00:00,Board,Newsprint,839.8554,7.0642,122.2673,5.9314,103.3299,141.4422,3.0181,4419.0009,173.0545,3.7346,4.4943,25.8936,55.3283,85.1201,48.1462,0.961,114.4239
2024-01-01 03:00:00+00:00,Kraft,CopyPaper,822.5785,7.2712,135.1961,3.9843,94.1643,131.8408,2.6345,4146.4397,166.5624,3.5841,3.5301,34.3306,62.6423,37.7435,83.0462,0.2625,22.9312
2024-01-01 03:05:00+00:00,Kraft,CopyPaper,768.0322,7.7751,133.5789,4.0554,96.1618,134.9954,2.7517,3941.3344,130.0982,3.4586,4.151,36.2004,68.0727,35.3666,85.3023,0.2933,29.9277
2024-01-01 03:10:00+00:00,Kraft,CopyPaper,714.1868,7.0727,120.3913,4.3257,101.9789,118.2851,2.9171,3934.8203,156.2714,3.6895,3.936,18.8926,55.3788,36.9764,87.809,0.2277,27.2217
2024-01-01 03:15:00+00:00,Newsprint,Coated,586.6663,7.4837,129.3403,2.8808,90.3368,73.9722,2.8136,3403.356,192.2077,2.9664,2.8679,28.0297,55.8167,40.3103,84.9676,0.2233,32.9864
2024-01-01 03:20:00+00:00,CopyPaper,Kraft,721.7802,7.4303,124.5124,6.633,98.1657,137.5453,2.9504,4148.1639,150.4938,3.7422,4.1489,28.9116,65.922,45.7921,86.0854,0.2151,38.2557
2024-01-01 03:25:00+00:00,CopyPaper,Kraft,659.9636,7.5093,126.2759,5.3014,119.4586,159.8424,3.2196,4516.8878,183.7378,3.4049,4.4392,24.3884,83.7704,33.1686,95.7167,0.112,25.1329
2024-01-01 03:30:00+00:00,CopyPaper,Kraft,706.4933,7.4045,135.7571,4.4658,98.9188,149.4839,2.7754,3746.825,171.1733,3.1345,4.458,26.9366,52.6783,37.8462,71.6243,0.4966,34.8515
2024-01-01 03:35:00+00:00,Kraft,Newsprint,734.1013,7.6117,122.8882,6.3076,108.6797,153.9098,3.0735,4357.9192,194.059,3.4469,3.9402,31.5746,51.5257,65.0255,43.1543,0.9431,85.9444
2024-01-01 03:40:00+00:00,Board,CopyPaper,626.2407,8.3737,141.4451,4.0058,164.3849,210.6069,3.4667,5102.8931,222.869,3.3238,4.1489,30.0829,91.3384,74.1755,46.8729,0.9408,101.1769
2024-01-01 03:45:00+00:00,CopyPaper,Board,766.5033,7.4753,133.0923,3.6135,137.0401,184.2285,3.1528,4866.2408,168.988,3.5203,4.3182,24.8208,63.6978,72.6795,47.3349,0.9247,94.4764
2024-01-01 03:50:00+00:00,Coated,CopyPaper,824.811,7.178,134.852,4.0256,90.2481,104.9486,3.0596,3804.262,149.8355,3.6977,3.7423,28.2029,67.2634,29.9412,88.9808,0.1688,19.3354
2024-01-01 03:55:00+00:00,Newsprint,Coated,958.3333,7.2787,135.9488,3.3881,65.238,75.3447,2.8259,3686.358,120.9159,3.9686,3.556,31.9834,68.541,43.9534,76.5818,0.4106,39.5265
2024-01-01 04:00:00+00:00,Board,Coated,710.1071,8.2257,133.9829,2.5,167.6057,195.8269,3.5404,5500.0,209.3216,3.3367,5.313,27.4746,61.8307,62.6526,45.1314,0.9563,84.1033
2024-01-01 04:05:00+00:00,Board,Kraft,416.1776,8.453,125.8861,5.0048,162.9416,217.6339,3.4611,4820.9072,190.2291,2.368,4.8012,38.5665,53.0182,50.0986,74.8548,0.4491,47.1893
2024-01-01 04:10:00+00:00,Coated,Newsprint,873.0672,7.3988,139.0455,5.7481,82.8671,75.106,2.8038,3932.5542,146.0841,3.8229,3.4855,19.9969,62.5014,42.7534,67.8338,0.5481,43.9696
2024-01-01 04:15:00+00:00,Newsprint,CopyPaper,898.4359,7.3462,138.6055,3.4573,72.0771,105.3631,2.667,3906.5458,116.5194,3.8377,3.7455,22.7267,77.402,29.0426,86.6811,0.2257,21.192
